id;x;y;sp
646;58.254272;81.245163;43
647;77.878517;53.607185;55
648;93.048676;56.033371;16
649;75.742523;2.500485;69
650;7.197852;13.036161;52
651;72.362366;96.815056;53
652;62.945164;34.077698;55
653;72.994995;83.368622;54
654;74.982071;0.081024;53
655;8.158513;13.967693;52
656;44.596535;74.493698;43
657;78.157486;80.478668;27
658;50.991135;79.147354;43
659;47.110058;78.628082;43
660;87.151642;93.336662;54
661;55.707516;69.578995;14
662;38.669613;3.418899;17
663;80.081322;91.615242;47
664;82.067009;98.568214;47
665;90.841904;45.066746;51
666;96.568695;58.528126;15
667;63.798153;67.834641;38
668;33.531017;63.563072;73
669;93.433220;25.908762;35
670;89.510635;35.571892;80
671;26.616993;68.900742;45
672;93.433220;25.908762;35
673;0.616394;57.249176;50
674;71.701050;39.871662;51
675;91.649780;46.585548;51
676;24.966171;60.917122;45
677;27.103235;71.005577;45
678;79.879875;93.782578;54
679;57.819500;75.930168;79
680;11.174100;13.992262;52
681;78.674995;87.863792;54
682;83.385124;99.738762;47
683;82.825500;88.107178;54
684;68.463516;98.905807;69
685;88.601646;39.225166;51
686;13.708383;74.200462;78
687;91.210884;41.574085;2
688;86.178604;2.746154;47
689;55.815792;71.394768;14
690;64.645340;87.592361;79
691;22.743164;78.894203;66
692;21.415707;74.602371;66
693;60.246105;77.731834;11
694;14.188126;43.427151;48
695;36.330173;74.558151;24
696;59.832813;83.899460;79
697;56.291405;15.065324;3
698;26.114344;62.650928;45
699;12.464146;76.952583;78
700;78.157486;80.478668;27
701;56.896255;75.162949;79
702;96.974518;20.764196;8
703;84.916824;22.737818;71
704;38.609924;1.634499;77
705;64.529724;44.294445;55
706;39.718597;3.481863;77
707;2.063110;44.179604;42
708;2.133873;46.431263;42
709;83.979675;90.809174;54
710;93.686920;48.599426;51
711;78.831886;89.980125;47
712;18.751074;49.551727;62
713;47.525463;19.378006;63
714;23.393129;22.561361;9
715;43.399147;5.709966;77
716;2.036583;45.440979;42
717;88.102890;7.242812;47
718;83.974831;88.029839;1
719;92.747635;49.256367;50
720;13.577467;64.297722;15
721;58.441772;82.347931;79
722;92.747635;49.256367;50
723;84.755424;29.355530;80
724;84.528236;98.748093;47
725;89.926765;43.490524;16
726;99.373131;5.472769;6
727;4.581552;7.781918;32
728;62.590057;85.441841;79
729;27.711040;87.600082;4
730;62.318302;83.364128;79
731;93.456314;10.476022;67
732;93.902977;98.648720;6
733;16.733442;43.045845;37
734;21.080816;57.927334;62
735;22.427023;63.450111;19
736;78.445053;57.130337;55
737;88.634163;31.647518;80
738;57.819500;75.930168;79
739;9.488657;74.498314;78
740;88.601646;39.225166;51
741;73.030701;45.516201;55
742;78.187965;54.810314;55
743;87.760773;41.893997;51
744;36.259129;4.382713;77
745;94.051407;16.463203;8
746;70.128609;91.925980;43
747;83.166336;96.316658;44
748;10.212374;75.874161;78
749;92.942780;22.923674;30
750;86.178604;2.746154;47
751;54.685818;85.042717;43
752;56.731945;88.903976;43
753;54.624371;85.653030;43
754;61.668118;34.409168;55
755;85.181862;96.132088;47
756;76.304131;85.685852;54
757;79.698265;81.508507;54
758;42.537083;73.219414;43
759;46.632389;77.283234;43
760;58.969139;33.090137;55
761;89.681763;5.685535;47
762;94.816574;22.993710;30
763;43.234989;5.053269;77
764;90.565178;45.967972;51
765;64.208710;32.554287;51
766;2.016037;6.288898;41
767;88.376701;29.603338;71
768;98.667892;8.589908;52
769;57.037659;71.823692;79
770;82.254196;89.147636;54
771;73.030701;45.516201;55
772;23.130110;48.275341;62
773;93.433220;25.908762;35
774;60.713509;79.347092;11
775;12.444921;15.634113;10
776;57.037659;71.823692;79
777;2.710968;42.241550;42
778;12.187345;76.011780;78
779;23.249855;49.912209;37
780;90.238640;45.022404;51
781;82.037239;86.464355;54
782;79.642464;83.913658;54
783;60.517361;78.805771;79
784;60.763523;32.132355;55
785;13.559142;42.974895;49
786;2.005761;43.658539;34
787;30.953072;67.895096;19
788;17.296301;40.560970;49
789;87.767944;99.563377;44
790;68.739456;90.488342;79
791;59.927486;36.562599;55
792;92.713295;43.207184;51
793;94.482834;47.997765;51
794;89.722504;23.471468;71
795;75.773491;48.648651;55
796;80.603432;35.161919;31
797;80.693916;49.669621;55
798;90.007935;44.417622;51
799;79.806953;7.589162;53
800;15.347113;66.382507;15
801;58.433079;13.911886;3
802;18.968443;63.817108;29
803;60.700775;34.121288;55
804;67.086647;42.025322;55
805;6.119975;71.380714;78
806;86.091599;43.231655;51
807;1.265523;10.815460;52
808;80.782349;21.675322;71
809;96.081017;44.935917;51
810;31.334312;44.767067;39
811;62.814255;79.044136;79
812;24.710136;64.669052;45
813;2.063110;44.179604;42
814;5.981073;82.379364;23
815;45.080338;76.292999;43
816;53.165131;68.469116;79
817;79.227203;55.284000;55
818;3.189304;14.891308;52
819;75.884987;45.863560;55
820;65.526543;39.757198;55
821;29.963461;67.633133;19
822;84.587181;85.267014;54
823;1.991028;73.169731;78
824;9.765401;62.055096;29
825;78.831032;83.445480;54
826;83.204971;26.048723;71
827;25.457542;69.742065;45
828;24.523798;21.921812;9
829;89.328140;38.717434;51
830;89.578957;43.276855;51
831;74.675117;97.887291;53
832;14.085990;65.056679;29
833;58.385670;79.354370;79
834;74.953636;50.368168;55
835;47.229599;67.627541;79
836;74.780716;50.345234;55
837;47.110058;78.628082;43
838;4.581552;7.781918;32
839;47.370640;9.630547;77
840;69.871979;42.377991;55
841;7.829554;18.225254;9
842;38.609924;1.634499;77
843;37.252224;40.709496;43
844;85.019669;40.492428;51
845;85.090233;19.233908;71
846;58.969139;33.090137;55
847;17.894869;63.690689;29
848;85.019669;40.492428;51
849;88.870041;96.959023;54
850;70.681465;46.342182;55
851;77.327431;84.772118;54
852;63.405621;37.426033;55
853;72.237236;78.480690;54
854;70.644142;48.239632;55
855;94.461617;48.718864;51
856;43.234989;5.053269;77
857;85.632614;90.029419;54
858;95.498154;16.546436;8
859;51.876999;79.777184;43
860;64.483498;36.572166;55
861;55.292442;84.392235;43
862;75.685493;99.001770;53
863;82.254196;89.147636;54
864;74.518120;82.549484;27
865;73.812889;83.464020;54
866;70.644142;48.239632;55
867;62.531662;42.901272;55
868;90.688934;93.180801;54
869;80.669632;60.099648;55
870;44.596535;74.493698;43
871;67.774117;45.393440;55
872;83.085007;99.748917;47
873;54.073921;83.686638;43
874;78.776192;85.835159;54
875;73.283073;44.949097;55
876;47.501892;80.056984;43
877;8.989746;15.895629;52
878;80.795776;87.111115;54
879;67.057663;47.664787;55
880;78.306694;59.377438;55
881;47.222561;65.429428;79
882;80.782349;21.675322;71
883;2.710968;42.241550;42
884;62.316307;36.753696;55
885;57.819500;75.930168;79
886;4.981285;45.650146;42
887;69.130119;43.214046;55
888;85.815948;98.684433;54
889;67.583641;47.010773;55
890;75.597633;80.954376;54
891;51.823853;86.454521;43
892;3.189304;14.891308;52
893;52.975597;85.364769;43
894;80.594093;89.903740;54
895;71.267929;43.321857;55
896;54.334618;82.946220;43
897;79.936745;84.832672;54
898;64.914528;41.170128;55
899;90.453110;43.981373;51
900;88.455643;13.419899;8
901;6.223091;19.625999;52
902;68.593895;94.784386;43
903;86.870270;34.847427;80
904;48.493935;81.249947;43
905;41.817532;70.600227;43
906;83.659470;89.818069;54
907;74.693428;45.771866;55
908;63.932114;36.210751;55
909;80.662506;91.551140;54
910;47.459160;76.643616;43
911;72.501511;37.288437;51
912;56.143200;71.734474;79
913;77.753357;45.187611;55
914;39.771843;5.179008;77
915;85.019669;40.492428;51
916;87.162346;27.111309;71
